archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	arch-05	469	FP	ParseError is the app's own domain/parser exception, not infra or broad Exception
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-06	95	TP	RagFusionSubQueryInfo carries the noise-word suffix Info
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-09	1717	TP	Three and-joined sub-expressions in the comprehension filter
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-09	1801	TP	Three and-joined conditions should be a named predicate
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-09	864	TP	Four-term and condition wrapped across lines
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-09	1059	TP	Four-term and condition for RAG fusion gate
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-09	1960	TP	Four-term and condition for single-collection RAG fusion
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-09	2672	TP	Four-term and condition for search_many RAG fusion
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-09	3457	TP	Three-term and short-circuit condition
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	421	TP	ingest_file has well over 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	888	TP	ingest_directory has many branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	1019	TP	search dispatch and RAG fusion path exceed 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	1226	TP	_search_graph_mode has 11+ branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	1313	TP	_search_ppr_mode has many fallback branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	1459	TP	_search_local_mode has many branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	1683	TP	_search_standard exceeds 10 with ternaries and comprehensions
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	1740	TP	explain has many branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	2107	TP	_explain_naive_graph_candidates exceeds 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	2241	TP	_explain_ppr_candidates has 11+ branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	2378	TP	_explain_community_candidates has many branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	2624	TP	search_many has many branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	2980	TP	_local_leg closure exceeds 10 branches
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-16	3436	TP	recompute_collection_meta exceeds 10 with ternaries
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-17	421	TP	ingest_file spans ~465 lines
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-17	1019	TP	search spans ~200 lines
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-17	1459	TP	_search_local_mode spans ~220 lines
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-17	1740	TP	explain spans ~360 lines
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-17	2378	TP	_explain_community_candidates spans ~185 lines
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	clarity-17	2624	TP	search_many spans ~575 lines
archon-search	/Users/manczg/Documents/development/archon-search/archon_search/pipeline.py	ddd-01	52	TP	SearchPipelineResult is a mutable identity-free data carrier, mutated post-construction
